category,sound_id,label,file_name,current_icon_sf_symbol_constant,shared_icon_usage_count,reason
animals,birds,Birds,birds.mp3,birdFill,13,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,river,River,river.mp3,waterWaves,6,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,sea-cave,Sea Cave,sea-cave.mp3,waterWaves,6,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,waterfall,Waterfall,waterfall.mp3,waterWaves,6,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,waves,Waves,waves.mp3,waterWaves,6,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,howling-wind,Howling Wind,howling-wind.mp3,wind,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
nature,wind,Wind,wind.mp3,wind,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
noise,baby-crying,Baby Crying,baby-crying.mp3,personFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
noise,men-snoring,Men Snoring,men-snoring.mp3,personFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
noise,brown-noise,Brown Noise,brown-noise.wav,waveform,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
noise,pink-noise,Pink Noise,pink-noise.wav,waveform,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
noise,white-noise,White Noise,white-noise.wav,waveform,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,airport,Airport,airport.mp3,airplane,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,flea-market,Flea Market,flea-market.mp3,cartFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,supermarket,Supermarket,supermarket.mp3,cartFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,chinese-kitchen,Chinese Kitchen,chinese-kitchen.mp3,forkKnife,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,restaurant,Restaurant,restaurant.mp3,forkKnife,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,children-playing,Children Playing,children-playing.mp3,person3Fill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,subway-station,Subway Station,subway-station.mp3,tramFill,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,laundry-room,Laundry Room,laundry-room.mp3,washerFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
places,underwater,Underwater,underwater.mp3,waterWaves,6,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
rain,rain-on-car-roof,Rain on Car Roof,rain-on-car-roof.mp3,carFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
rain,rain-on-leaves,Rain on Leaves,rain-on-leaves.mp3,dropFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
things,windshield-wipers,Windshield Wipers,windshield-wipers.mp3,carFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
things,boiling-water,Boiling Water,boiling-water.mp3,dropFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
things,bubbles,Bubbles,bubbles.mp3,dropFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
things,keyboard,Keyboard,keyboard.mp3,keyboard,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
things,typewriter,Typewriter,typewriter.mp3,keyboard,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
things,wood-creak,Wood Creak,wood-creak.mp3,leafFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
things,washing-machine,Washing Machine,washing-machine.mp3,washerFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,airplane,Airplane,airplane.mp3,airplane,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,rowing-boat,Rowing Boat,rowing-boat.mp3,sailboatFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,sailboat,Sailboat,sailboat.mp3,sailboatFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,inside-a-train,Inside a Train,inside-a-train.mp3,tramFill,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,train,Train,train.mp3,tramFill,3,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,diesel-fork-lift,Diesel Fork Lift,diesel-fork-lift.mp3,truckBoxFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,dumper-truck,Dumper Truck,dumper-truck.mp3,truckBoxFill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
transport,submarine,Submarine,submarine.mp3,waterWaves,6,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
urban,highway,Highway,highway.mp3,carFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
urban,traffic,Traffic,traffic.mp3,carFill,4,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
urban,crowd,Crowd,crowd.mp3,person3Fill,2,Comparte icono SF Symbol con otros sonidos; candidato a SVG personalizado
